423000(2300000),,,,,Swapped position of LNA and SMA cable
1418.157499,0.000649706,,,,
1418.166874,0.000649403,,,,
1418.176249,0.000649598,,,,
1418.185624,0.000649888,,,,
1418.194999,0.000650758,,,,
1418.204374,0.000652094,,,,
1418.213749,0.000653296,,,,
1418.223124,0.000653347,,,,
1418.232499,0.000653577,,,,
1418.241874,0.000655497,,,,
1418.251249,0.000654917,,,,
1418.260624,0.000655148,,,,
1418.269999,0.000656078,,,,
1418.279374,0.000655367,,,,
1418.288749,0.000655965,,,,
1418.298124,0.000656475,,,,
1418.307499,0.000655942,,,,
1418.316874,0.000656076,,,,
1418.326249,0.000655993,,,,
1418.335624,0.000656452,,,,
1418.344999,0.000656295,,,,
1418.354374,0.000656945,,,,
1418.363749,0.000656729,,,,
1418.373124,0.000656669,,,,
1418.382499,0.00065596,,,,
1418.391874,0.000656672,,,,
1418.401249,0.00065623,,,,
1418.410624,0.000656028,,,,
1418.419999,0.000656265,,,,
1418.429374,0.000656291,,,,
1418.438749,0.000656971,,,,
1418.448124,0.000656131,,,,
1418.457499,0.000656547,,,,
1418.466874,0.000668432,,,,
1418.476249,0.000659318,,,,
1418.485624,0.000655902,,,,
1418.494999,0.000656952,,,,
1418.504374,0.000656236,,,,
1418.513749,0.000656783,,,,
1418.523124,0.000656494,,,,
1418.532499,0.000655972,,,,
1418.541874,0.000655986,,,,
1418.551249,0.000656189,,,,
1418.560624,0.000656213,,,,
1418.569999,0.000654645,,,,
1418.579374,0.000655003,,,,
1418.588749,0.000655484,,,,
1418.598124,0.000655394,,,,
1418.607499,0.000654619,,,,
1418.616874,0.000654263,,,,
1418.626249,0.000653758,,,,
1418.635624,0.000653995,,,,
1418.644999,0.000653576,,,,
1418.654374,0.000652998,,,,
1418.663749,0.000654011,,,,
1418.673124,0.000653111,,,,
1418.682499,0.000653469,,,,
1418.691874,0.000652711,,,,
1418.701249,0.00065366,,,,
1418.710624,0.000652578,,,,
1418.719999,0.00065337,,,,
1418.729374,0.000653053,,,,
1418.738749,0.000652361,,,,
1418.748124,0.000652145,,,,
1418.757499,0.000651918,,,,
1418.766874,0.000652554,,,,
1418.776249,0.000652659,,,,
1418.785624,0.000652088,,,,
1418.794999,0.00065255,,,,
1418.804374,0.000651991,,,,
1418.813749,0.00065158,,,,
1418.823124,0.000650572,,,,
1418.832499,0.000650707,,,,
1418.841874,0.000651781,,,,
1418.851249,0.000651167,,,,
1418.860624,0.000651808,,,,
1418.869999,0.000651349,,,,
1418.879374,0.000650981,,,,
1418.888749,0.000650706,,,,
1418.898124,0.000650394,,,,
1418.907499,0.000651063,,,,
1418.916874,0.000650616,,,,
1418.926249,0.000650353,,,,
1418.935624,0.00065073,,,,
1418.944999,0.000650053,,,,
1418.954374,0.000649544,,,,
1418.963749,0.000649733,,,,
1418.973124,0.000650181,,,,
1418.982499,0.000649699,,,,
1418.991874,0.000649883,,,,
1419.001249,0.000649069,,,,
1419.010624,0.000649383,,,,
1419.019999,0.000648413,,,,
1419.029374,0.00064923,,,,
1419.038749,0.000648726,,,,
1419.048124,0.000648882,,,,
1419.057499,0.000649241,,,,
1419.066874,0.000648844,,,,
1419.076249,0.000648239,,,,
1419.085624,0.000648907,,,,
1419.094999,0.000647936,,,,
1419.104374,0.000648677,,,,
1419.113749,0.000648306,,,,
1419.123124,0.000647915,,,,
1419.132499,0.000648191,,,,
1419.141874,0.000647957,,,,
1419.151249,0.000647125,,,,
1419.160624,0.000647593,,,,
1419.169999,0.000647325,,,,
1419.179374,0.000647786,,,,
1419.188749,0.000647096,,,,
1419.198124,0.000646848,,,,
1419.207499,0.000646791,,,,
1419.216874,0.000645836,,,,
1419.226249,0.000647206,,,,
1419.235624,0.000646313,,,,
1419.244999,0.000647304,,,,
1419.254374,0.000646587,,,,
1419.263749,0.000646814,,,,
1419.273124,0.000647016,,,,
1419.282499,0.000646469,,,,
1419.291874,0.000645158,,,,
1419.301249,0.000645539,,,,
1419.310624,0.000645422,,,,
1419.319999,0.000645249,,,,
1419.329374,0.000645166,,,,
1419.338749,0.000645402,,,,
1419.348124,0.000645103,,,,
1419.357499,0.000645876,,,,
1419.366874,0.000644332,,,,
1419.376249,0.000644552,,,,
1419.385624,0.000645299,,,,
1419.394999,0.000645863,,,,
1419.404374,0.000644461,,,,
1419.413749,0.000643441,,,,
1419.423124,0.000644166,,,,
1419.432499,0.00064455,,,,
1419.441874,0.000644849,,,,
1419.451249,0.000644156,,,,
1419.460624,0.000644104,,,,
1419.469999,0.000643883,,,,
1419.479374,0.000643382,,,,
1419.488749,0.000643775,,,,
1419.498124,0.000643569,,,,
1419.507499,0.000643597,,,,
1419.516874,0.000643422,,,,
1419.526249,0.000643414,,,,
1419.535624,0.000642398,,,,
1419.544999,0.000642687,,,,
1419.554374,0.000642806,,,,
1419.563749,0.000643296,,,,
1419.573124,0.00064282,,,,
1419.582499,0.000642605,,,,
1419.591874,0.000642519,,,,
1419.601249,0.000641908,,,,
1419.610624,0.000642324,,,,
1419.619999,0.000642428,,,,
1419.629374,0.000641421,,,,
1419.638749,0.000642834,,,,
1419.648124,0.000642028,,,,
1419.657499,0.000641163,,,,
1419.666874,0.000641813,,,,
1419.676249,0.000641965,,,,
1419.685624,0.000642067,,,,
1419.694999,0.000641114,,,,
1419.704374,0.000640976,,,,
1419.713749,0.000641289,,,,
1419.723124,0.000641374,,,,
1419.732499,0.000641456,,,,
1419.741874,0.000642251,,,,
1419.751249,0.000642215,,,,
1419.760624,0.000640635,,,,
1419.769999,0.000639693,,,,
1419.779374,0.000639814,,,,
1419.788749,0.000639978,,,,
1419.798124,0.00064032,,,,
1419.807499,0.00063869,,,,
1419.816874,0.000640431,,,,
1419.826249,0.000639742,,,,
1419.835624,0.000639608,,,,
1419.844999,0.000639579,,,,
1419.854374,0.000639938,,,,
1419.863749,0.000639462,,,,
1419.873124,0.000638914,,,,
1419.882499,0.000638622,,,,
1419.891874,0.000638317,,,,
1419.901249,0.000638671,,,,
1419.910624,0.000638596,,,,
1419.919999,0.00063857,,,,
1419.929374,0.000637508,,,,
1419.938749,0.000638257,,,,
1419.948124,0.000629862,,,,
1419.957499,0.000638552,,,,
1419.966874,0.000638336,,,,
1419.976249,0.000639529,,,,
1419.985624,0.000643037,,,,
1419.994999,0.000732187,,,,
1420.004374,0.00065068,,,,
1420.013749,0.000640292,,,,
1420.023124,0.000637523,,,,
1420.032499,0.000637393,,,,
1420.041874,0.000638656,,,,
1420.051249,0.00063879,,,,
1420.060624,0.000637696,,,,
1420.069999,0.000637803,,,,
