162000(2300000),
1418.157499,0.000585719
1418.166874,0.000583913
1418.176249,0.000582764
1418.185624,0.000581671
1418.194999,0.000580789
1418.204374,0.000580997
1418.213749,0.00058032
1418.223124,0.000579758
1418.232499,0.000578556
1418.241874,0.000579079
1418.251249,0.000578079
1418.260624,0.000578608
1418.269999,0.000578199
1418.279374,0.000578033
1418.288749,0.000577994
1418.298124,0.000578006
1418.307499,0.000577245
1418.316874,0.000577539
1418.326249,0.000577266
1418.335624,0.000577706
1418.344999,0.000577273
1418.354374,0.000578383
1418.363749,0.000577738
1418.373124,0.000577859
1418.382499,0.000577635
1418.391874,0.000577709
1418.401249,0.000577749
1418.410624,0.000577748
1418.419999,0.000578324
1418.429374,0.000578398
1418.438749,0.000578482
1418.448124,0.000577876
1418.457499,0.000578873
1418.466874,0.000591864
1418.476249,0.000581757
1418.485624,0.000578674
1418.494999,0.000579803
1418.504374,0.000579305
1418.513749,0.000579828
1418.523124,0.00057967
1418.532499,0.000579149
1418.541874,0.000579213
1418.551249,0.000580104
1418.560624,0.00058085
1418.569999,0.000578872
1418.579374,0.000579231
1418.588749,0.000579194
1418.598124,0.000579149
1418.607499,0.000579403
1418.616874,0.000578681
1418.626249,0.000578414
1418.635624,0.000578433
1418.644999,0.00057895
1418.654374,0.000577832
1418.663749,0.000579052
1418.673124,0.000578854
1418.682499,0.000578671
1418.691874,0.000578766
1418.701249,0.000578747
1418.710624,0.000578221
1418.719999,0.000579134
1418.729374,0.000578584
1418.738749,0.000578941
1418.748124,0.000578382
1418.757499,0.00057858
1418.766874,0.000579445
1418.776249,0.000578925
1418.785624,0.0005788
1418.794999,0.000579495
1418.804374,0.000579643
1418.813749,0.00057904
1418.823124,0.000578733
1418.832499,0.000578423
1418.841874,0.000579221
1418.851249,0.000579325
1418.860624,0.000579955
1418.869999,0.000579761
1418.879374,0.0005797
1418.888749,0.000579365
1418.898124,0.000579482
1418.907499,0.000579608
1418.916874,0.000579147
1418.926249,0.000579519
1418.935624,0.000579585
1418.944999,0.000579399
1418.954374,0.000579487
1418.963749,0.000579585
1418.973124,0.000580071
1418.982499,0.000579867
1418.991874,0.000580166
1419.001249,0.000579753
1419.010624,0.000580067
1419.019999,0.000579764
1419.029374,0.00057986
1419.038749,0.00057993
1419.048124,0.000580358
1419.057499,0.000580416
1419.066874,0.00058007
1419.076249,0.000579744
1419.085624,0.000580318
1419.094999,0.000580452
1419.104374,0.000580441
1419.113749,0.000580251
1419.123124,0.000580317
1419.132499,0.000580784
1419.141874,0.000580511
1419.151249,0.000580119
1419.160624,0.000580729
1419.169999,0.000580501
1419.179374,0.00058126
1419.188749,0.000580448
1419.198124,0.000580604
1419.207499,0.000580439
1419.216874,0.000579607
1419.226249,0.000581433
1419.235624,0.000581176
1419.244999,0.00058172
1419.254374,0.000581189
1419.263749,0.000581375
1419.273124,0.000581335
1419.282499,0.000581575
1419.291874,0.000581096
1419.301249,0.000581063
1419.310624,0.000581469
1419.319999,0.000581558
1419.329374,0.000581126
1419.338749,0.000581
1419.348124,0.000581312
1419.357499,0.000581907
1419.366874,0.000581147
1419.376249,0.000581054
1419.385624,0.000581948
1419.394999,0.000582351
1419.404374,0.000581634
1419.413749,0.000581181
1419.423124,0.000581864
1419.432499,0.000582062
1419.441874,0.000582479
1419.451249,0.000582569
1419.460624,0.000582063
1419.469999,0.000582198
1419.479374,0.000581998
1419.488749,0.000581971
1419.498124,0.000582172
1419.507499,0.000582141
1419.516874,0.000582567
1419.526249,0.000582655
1419.535624,0.000581626
1419.544999,0.000582599
1419.554374,0.00058249
1419.563749,0.000582806
1419.573124,0.000582778
1419.582499,0.000582612
1419.591874,0.000582662
1419.601249,0.000582526
1419.610624,0.000582967
1419.619999,0.000582617
1419.629374,0.00058202
1419.638749,0.000583247
1419.648124,0.000583251
1419.657499,0.000582949
1419.666874,0.000583023
1419.676249,0.000583426
1419.685624,0.000583857
1419.694999,0.000583094
1419.704374,0.000583401
1419.713749,0.000583109
1419.723124,0.000583631
1419.732499,0.000583578
1419.741874,0.00058413
1419.751249,0.000584545
1419.760624,0.00058311
1419.769999,0.000583174
1419.779374,0.000582468
1419.788749,0.00058343
1419.798124,0.000583902
1419.807499,0.000582477
1419.816874,0.000584091
1419.826249,0.000583928
1419.835624,0.000583552
1419.844999,0.000583636
1419.854374,0.000584132
1419.863749,0.000584195
1419.873124,0.000584197
1419.882499,0.000583726
1419.891874,0.000583773
1419.901249,0.000583601
1419.910624,0.000584065
1419.919999,0.000584411
1419.929374,0.000583574
1419.938749,0.000584181
1419.948124,0.000575989
1419.957499,0.00058444
1419.966874,0.000584031
1419.976249,0.000585327
1419.985624,0.0005876
1419.994999,0.000643436
1420.004374,0.000592461
1420.013749,0.000586939
1420.023124,0.000585241
1420.032499,0.000584634
1420.041874,0.000585825
1420.051249,0.000585968
1420.060624,0.000585801
1420.069999,0.000585543
1420.079374,0.000586094
1420.088749,0.000586122
1420.098124,0.000585512
1420.107499,0.000586091
1420.116874,0.000585881
1420.126249,0.000585649
1420.135624,0.00058641
1420.144999,0.000587462
1420.154374,0.000586773
1420.163749,0.000586959
1420.173124,0.000585621
1420.182499,0.000586955
1420.191874,0.00058728
1420.201249,0.000586792
1420.210624,0.000587334
1420.219999,0.000587321
1420.229374,0.000588621
1420.238749,0.000588021
1420.248124,0.000591868
1420.257499,0.000588724
1420.266874,0.00058946
1420.276249,0.000590041
1420.285624,0.000590977
1420.294999,0.000592469
1420.304374,0.000594002
1420.313749,0.00059503
1420.323124,0.0005974
1420.332499,0.000599862
1420.341874,0.000602297
1420.351249,0.000606498
1420.360624,0.000610536
1420.369999,0.000613922
1420.379374,0.000615886
1420.388749,0.000617979
1420.398124,0.000619293
1420.407499,0.000618989
1420.416874,0.00061932
1420.426249,0.000618917
1420.435624,0.000617654
1420.444999,0.000615871
1420.454374,0.000613448
1420.463749,0.000609253
1420.473124,0.000606014
1420.482499,0.000603067
1420.491874,0.000599352
1420.501249,0.00059637
1420.510624,0.000594987
1420.519999,0.000592576
1420.529374,0.000589526
1420.538749,0.000587313
1420.548124,0.000585868
